Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
HLA-DRB4,5093,8.335478274,8.288691397,61.64678389,5.17E-184,6.65E-184,410.9064062
RNU6ATAC25P,14266,7.645526876,7.782083249,61.64650075,5.17E-184,6.66E-184,410.9050003
DDX3Y,20044,12.2979156,12.42453053,61.6457245,5.19E-184,6.69E-184,410.9011456
TRMT44,6416,6.870945683,6.935449058,61.64232004,5.28E-184,6.80E-184,410.8842395
CCDC6,18889,6.607412007,6.54519601,61.64076266,5.32E-184,6.85E-184,410.8765055
RNF13,6327,7.07596583,7.081335534,61.63990824,5.35E-184,6.88E-184,410.8722624
CD200,15376,6.614514584,6.713606025,61.63861474,5.38E-184,6.93E-184,410.8658387
GAGE1,12154,11.06059425,11.12217078,61.63113879,5.58E-184,7.19E-184,410.8287095
DDX19A,19876,6.966766115,6.931028273,61.62991043,5.62E-184,7.23E-184,410.8226086
UGT2A3,16008,11.47242476,11.3489337,61.62801902,5.67E-184,7.30E-184,410.8132141
ANXA2R,6068,11.34865285,11.05033164,61.62383203,5.79E-184,7.45E-184,410.792417
LOC107984321,17306,7.220158535,7.268702769,61.61393883,6.08E-184,7.83E-184,410.7432719
PYHIN1,19643,11.89648865,11.90235407,61.61280361,6.12E-184,7.87E-184,410.7376322
ALDOC,1813,9.492647524,9.413111782,61.61152381,6.16E-184,7.92E-184,410.7312741
MED8,16673,9.216504649,9.012624331,61.60382338,6.40E-184,8.23E-184,410.6930159
ECD,18991,7.483009929,7.628612128,61.60053566,6.50E-184,8.36E-184,410.6766802
WDR88,16402,9.586691993,9.5312223,61.58875409,6.89E-184,8.87E-184,410.6181351
EFCAB8,23587,9.865829361,10.09111565,61.58206973,7.12E-184,9.16E-184,410.5849149
DLGAP4-AS1,24065,7.99177171,8.182272513,61.58089976,7.17E-184,9.22E-184,410.5791
OR2W5,225,7.672236557,7.76169506,61.57845247,7.25E-184,9.33E-184,410.5669365
ATP5MC2,24330,12.08071035,12.16485925,61.57681607,7.31E-184,9.41E-184,410.5588029
LOC101928451,21531,8.360341121,8.279620997,61.57470249,7.39E-184,9.50E-184,410.5482974
SRRT,17592,9.192130908,9.202347568,61.57171446,7.50E-184,9.65E-184,410.5334449
FAAP20,25,9.091117928,9.178307929,61.56888203,7.61E-184,9.78E-184,410.5193653
APOBEC3A,21284,6.889634787,6.911414194,61.56651886,7.70E-184,9.90E-184,410.5076179
KIFC1,10993,10.6392712,10.48404771,61.55656849,8.09E-184,1.04E-183,410.45815
STK25,3055,7.065730125,7.017498047,61.55508313,8.15E-184,1.05E-183,410.4507651
