Gene_symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,
PHAX,5418,-0.125642712,8.070068926,-0.845727057,0.398313262,0.997655044,-5.70488116
SHBG,18150,-0.057167846,8.148683695,-0.845655289,0.398353252,0.997655044,-5.704938545
POU6F1,8150,-0.123556555,8.026187767,-0.845652475,0.39835482,0.997655044,-5.704940794
GTF2E1,1815,0.044948406,7.454588812,0.845582208,0.398393975,0.997655044,-5.704996974
WDR83OS,10168,0.152238001,8.534542917,0.845567549,0.398402144,0.997655044,-5.705008693
MMP7,9477,0.075631537,7.230422467,0.84550599,0.398436448,0.997655044,-5.705057906
RNU6-554P,4472,-0.056227681,8.2584454,-0.845366285,0.398514309,0.997655044,-5.705169579
DEPTOR,2359,0.014809482,6.928365266,0.845269709,0.398568138,0.997655044,-5.705246765
MUC3A,1595,0.038130411,8.29784025,0.845222568,0.398594415,0.997655044,-5.705284439
SSXP5,11902,0.059531311,7.595282533,0.845099936,0.398662777,0.997655044,-5.705382433
SLC9B1P1,22555,-0.014464294,6.378082561,-0.845095421,0.398665293,0.997655044,-5.70538604
HEXB,10680,0.011416951,6.768860754,0.845031927,0.398700691,0.997655044,-5.705436772
KRT7,14513,0.011657358,6.78712161,0.844940242,0.398751809,0.997655044,-5.705510021
SLC2A3,7997,-0.030733564,8.102740965,-0.844922678,0.398761601,0.997655044,-5.705524052
C1orf167,5910,0.05872062,7.601264473,0.844908623,0.398769438,0.997655044,-5.70553528
PRAMEF31P,21795,-0.040741139,11.60702496,-0.844893895,0.39877765,0.997655044,-5.705547046
CLTB,5723,-0.043909337,8.453581193,-0.84488361,0.398783385,0.997655044,-5.705555262
IGHV1OR21-1,23949,-0.010519499,6.716317775,-0.844862225,0.398795309,0.997655044,-5.705572344
OLFM1,26096,0.012061082,6.335890934,0.844789366,0.398835936,0.997655044,-5.705630542
VTI1A,10057,-0.275926777,10.060233,-0.844634287,0.398922417,0.997655044,-5.705754397
MIXL1,13059,0.011588,6.656473539,0.844612312,0.398934673,0.997655044,-5.705771947
BBS10,988,-0.045393839,8.723213846,-0.844562112,0.39896267,0.997655044,-5.705812034
SBK1,20896,-0.044699055,11.51110188,-0.84454754,0.398970797,0.997655044,-5.705823669
